No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
4211;MBOT;19.07M;-;-;-;-;2.66;2.38;-;65.70%;0.00%;-;-;-;7.02;-5.72%;48,239
4212;MBRX;44.38M;-;-;-;-;2.52;3.79;-;-32.20%;-8.80%;-;-;-;1.62;-1.22%;65,583
4213;MBSD;-;-;-;-;-;-;-;-;-;-;-;-;-;22.86;-0.09%;4,852
4214;MBT;8.23B;9.35;8.35;59.57;1.20;4.96;5.52;-;8.70%;7.92%;-1.80%;0.16%;3.20%;8.56;0.29%;913,953
4215;MBTF;259.67M;15.37;13.34;-;5.94;2.16;9.55;-;1.70%;4.96%;5.70%;-;-1.30%;11.30;0.00%;6,981
4216;MBUU;1.08B;14.90;13.98;0.99;2.17;8.06;17.49;22.40;125.10%;15.47%;29.83%;15.00%;24.40%;53.65;1.97%;125,308
4217;MBVX;4.21M;-;-;-;-;2.88;4.68;-;-135.50%;-;47.50%;-;-;0.43;-7.05%;5,250
4218;MBWM;564.69M;14.88;12.90;1.86;4.18;1.51;4.13;23.05;1.10%;8.09%;8.80%;8.00%;15.90%;33.95;-0.50%;7,543
4219;MC;3.45B;8.90;18.82;0.71;4.43;6.31;25.94;-;252.70%;3.70%;51.60%;12.60%;12.20%;57.20;0.35%;105,375
4220;MCA;-;-;-;-;-;-;-;-;-;-;-;-;-;12.71;-0.39%;239,139
4221;MCB;363.21M;16.40;11.89;-;4.98;1.36;13.50;8.59;732.30%;17.48%;-;-;-;41.62;-0.19%;3,292
4222;MCBC;400.98M;18.14;13.87;2.27;6.41;2.23;2.57;22.65;17.90%;9.40%;-15.80%;8.00%;0.10%;11.95;1.36%;17,646
4223;MCC;210.30M;-;17.24;-;2.85;0.60;1.46;1.71;45.20%;-14.77%;-17.30%;5.00%;16.70%;3.86;-0.52%;140,346
4224;MCD;127.38B;21.09;19.95;2.47;5.90;-;78.46;306.43;32.80%;6.78%;6.20%;8.55%;-3.70%;166.86;2.17%;2,647,933
4225;MCEF;-;-;-;-;-;-;-;-;-;-;-;-;-;17.52;0.00%;0
4226;MCEP;44.98M;-;-;-;1.12;0.73;89.97;11.25;-16.00%;-;-21.20%;1.55%;-3.30%;1.57;1.95%;10,957
4227;MCF;164.61M;-;-;-;2.12;0.72;-;-;73.00%;37.70%;-2.80%;-;-9.20%;6.42;-0.16%;166,190
4228;MCFT;702.34M;17.85;13.80;1.79;2.11;13.19;88.90;15.93;98.30%;8.67%;66.40%;10.00%;15.50%;37.20;0.00%;59,749
4229;MCHI;-;-;-;-;-;-;-;-;-;-;-;-;-;59.93;0.42%;1,398,732
4230;MCHP;19.53B;30.88;10.78;1.92;4.63;3.78;30.07;25.61;327.10%;13.38%;38.00%;16.10%;20.30%;78.80;-4.25%;2,925,490
4231;MCHX;118.35M;11.12;-;0.74;1.38;1.46;1.54;-;109.30%;-50.00%;16.90%;15.00%;-7.40%;2.85;-1.38%;6,321
4232;MCI;-;-;-;-;-;-;-;-;-;-;-;-;-;15.36;-0.07%;13,453
4233;MCK;26.67B;-;9.25;-;0.13;2.85;12.13;16.02;-116.50%;7.85%;-21.80%;5.69%;11.30%;132.20;-0.33%;369,317
4234;MCN;-;-;-;-;-;-;-;-;-;-;-;-;-;7.70;-0.08%;23,273
4235;MCO;34.49B;40.38;20.40;2.39;7.61;138.23;24.36;29.40;184.30%;10.19%;5.00%;16.90%;9.00%;172.90;-1.51%;295,820
4236;MCR;372.90M;127.54;37.05;-;16.28;0.89;-;-;94.10%;2200.00%;-45.13%;-;-;7.76;-0.26%;53,126
4237;MCRB;321.31M;-;-;-;9.26;-;3.34;-;3.90%;-3.60%;-;-;-;7.86;-0.76%;36,514
4238;MCRI;801.74M;26.92;19.98;1.92;3.41;2.84;29.58;-;5.80%;20.51%;21.80%;14.00%;7.20%;44.81;0.16%;7,526
4239;MCRN;1.53B;53.88;10.42;6.73;1.20;2.76;10.17;14.87;-125.30%;16.36%;18.90%;8.00%;8.20%;20.93;-0.90%;76,626
4240;MCRO;-;-;-;-;-;-;-;-;-;-;-;-;-;26.14;-0.46%;52
4241;MCS;1.12B;22.02;20.84;1.47;1.67;2.50;84.52;13.04;13.60%;10.97%;19.60%;15.00%;8.60%;40.90;0.49%;31,817
4242;MCY;2.77B;38.58;15.54;1.02;0.82;1.63;11.36;14.53;82.60%;44.48%;2.50%;37.90%;4.20%;50.64;0.36%;56,099
4243;MD;4.56B;15.87;10.82;1.07;1.27;1.37;94.96;12.54;-22.80%;10.42%;2.10%;14.84%;13.70%;46.43;-0.77%;313,167
4244;MDB;4.34B;-;-;-;22.59;20.16;8.31;-;-129.50%;21.60%;-;-;-;82.90;0.79%;506,383
4245;MDC;1.74B;8.71;7.65;0.53;0.64;1.13;4.09;-;43.50%;3.75%;18.60%;16.53%;16.50%;30.18;0.43%;109,318
4246;MDCA;255.96M;2.52;9.18;0.42;0.17;-;10.24;32.00;372.60%;337.50%;27.90%;6.00%;7.30%;4.50;0.00%;107,617
4247;MDCO;2.48B;-;-;-;95.59;113.21;13.49;-;-33.50%;24.00%;-55.80%;-;-39.60%;31.99;-2.56%;322,346
4248;MDGL;3.58B;-;-;-;-;6.72;7.30;-;49.80%;-132.00%;41.50%;0.00%;-;223.36;-1.66%;117,536
4249;MDGS;68.08M;-;-;-;173.68;1.01;-;-;-;-;-;-;-;3.37;-5.04%;785,761
4250;MDIV;-;-;-;-;-;-;-;-;-;-;-;-;-;18.47;-0.32%;41,817
4251;MDLY;158.60M;-;15.17;-;2.45;-;6.37;14.16;-24.30%;31.56%;-63.00%;2.01%;18.30%;5.25;0.00%;60,400
4252;MDLZ;63.62B;21.92;17.30;2.63;2.41;2.54;-;53.87;77.30%;3.84%;16.20%;8.34%;-5.90%;43.22;-0.52%;2,687,008
4253;MDP;2.33B;-;8.06;-;1.04;2.15;5.33;-;-127.90%;108.52%;-19.40%;27.20%;8.80%;51.80;-1.24%;123,798
4254;MDR;3.45B;6.45;9.05;0.10;0.86;0.75;4.24;8.62;671.50%;30.53%;2.90%;65.74%;-3.90%;18.74;1.90%;1,142,455
4255;MDRX;2.50B;-;16.49;-;1.25;2.27;18.41;40.16;-852.70%;13.89%;27.15%;17.90%;4.50%;14.41;0.56%;329,053
4256;MDSO;4.43B;81.74;38.53;4.30;7.56;7.50;10.87;118.86;49.00%;21.13%;16.30%;18.99%;20.10%;72.78;-0.74%;340,571
4257;MDT;133.73B;24.00;17.81;3.43;4.47;2.66;12.15;-;40.40%;8.42%;3.80%;7.00%;12.50%;98.98;0.12%;2,880,101
4258;MDU;5.09B;20.14;16.96;2.88;1.14;2.06;122.02;-;5.30%;9.71%;77.70%;7.00%;1.70%;25.79;-0.35%;265,442
4259;MDWD;176.67M;-;-;-;63.09;161.25;-;-;27.90%;0.00%;-23.70%;-;-;6.45;0.00%;38,808
4260;MDXG;652.50M;19.74;13.04;1.32;2.15;4.51;-;12.22;-58.90%;43.75%;22.50%;15.00%;99.50%;5.72;-4.67%;1,806,334
4261;MDY;-;-;-;-;-;-;-;-;-;-;-;-;-;369.78;0.04%;298,317
4262;MDYG;-;-;-;-;-;-;-;-;-;-;-;-;-;56.23;0.04%;26,015
4263;MDYV;-;-;-;-;-;-;-;-;-;-;-;-;-;54.17;0.18%;65,800
4264;MEAR;-;-;-;-;-;-;-;-;-;-;-;-;-;49.87;-0.04%;1,677
4265;MED;2.51B;63.02;35.65;3.00;6.78;24.74;24.34;67.42;56.00%;32.52%;11.60%;21.00%;-1.10%;218.55;3.34%;252,784
4266;MEDP;2.08B;43.86;20.56;1.79;3.73;3.81;93.59;17.80;146.70%;16.25%;-;24.57%;-;58.09;0.26%;313,269
4267;MEET;372.52M;-;13.75;-;2.44;1.93;17.82;16.41;-203.10%;19.00%;-35.40%;20.00%;21.50%;5.06;3.05%;418,821
4268;MEI;1.39B;12.49;10.38;0.83;1.53;2.19;6.06;34.46;20.00%;24.00%;22.60%;15.00%;11.80%;36.65;-0.95%;59,811
4269;MEIP;319.15M;-;-;-;199.47;4.67;3.11;-;38.10%;-18.30%;2.60%;-0.10%;-;4.41;0.57%;143,036
4270;MELI;14.79B;-;240.30;-;10.10;94.68;26.48;344.74;-89.20%;1250.00%;-32.00%;29.75%;30.20%;322.75;-2.60%;357,516
4271;MELR;51.15M;25.13;30.62;-;5.17;1.06;2.47;-;42.80%;-15.58%;14.70%;-;9.30%;19.83;-0.38%;1,500
4272;MEN;-;-;-;-;-;-;-;-;-;-;-;-;-;9.94;-0.40%;77,258
4273;MEOH;6.34B;17.26;12.71;1.33;1.81;4.37;19.79;10.45;53.90%;-15.39%;47.60%;13.00%;3.80%;80.05;1.84%;647,953
4274;MERC;1.03B;8.01;8.43;1.67;0.76;2.01;3.84;8.16;189.20%;0.00%;49.70%;4.79%;1.70%;16.13;-3.15%;107,223
4275;MESA;304.31M;23.10;5.85;-;0.46;0.72;7.30;-;120.00%;92.40%;45.00%;-;-13.50%;12.93;-3.51%;162,485
4276;MESO;640.73M;-;-;-;37.04;1.19;17.04;-;60.60%;3.20%;18.30%;24.00%;-9.60%;7.10;3.20%;97,956
4277;MET;47.71B;10.14;8.78;0.81;0.70;0.91;2.92;3.98;35.70%;5.20%;31.80%;12.55%;-1.90%;48.19;-0.28%;1,944,607
4278;METC;294.18M;45.22;4.25;-;1.84;2.24;49.86;-;-114.80%;85.28%;-;-;-;7.59;4.26%;71,519
4279;MEXX;-;-;-;-;-;-;-;-;-;-;-;-;-;19.42;-2.12%;1,679
4280;MFA;3.00B;9.99;10.16;3.18;5.05;0.94;54.66;-;-1.30%;0.95%;-1.10%;3.14%;2.60%;7.57;0.07%;2,765,561
4281;MFC;36.43B;19.26;6.41;2.18;0.93;1.16;2.73;2.81;-13.50%;7.08%;7.10%;8.82%;14.90%;18.30;-0.11%;758,887
4282;MFCB;75.94M;-;-;-;0.36;0.36;1.22;-;-90.00%;-;-17.50%;-;-10.80%;6.10;0.00%;232
4283;MFD;94.81M;-;-;-;7.71;0.93;8.94;14.81;409.10%;-;-3.10%;-;0.30%;10.81;-0.46%;42,966
4284;MFDX;-;-;-;-;-;-;-;-;-;-;-;-;-;26.23;0.61%;1,168
4285;MFEM;-;-;-;-;-;-;-;-;-;-;-;-;-;24.15;0.29%;4,381
4286;MFG;45.29B;8.89;-;4.94;2.89;0.58;0.06;-;59.40%;-;-8.00%;1.80%;4.40%;3.63;0.83%;44,001
4287;MFGP;7.77B;9.29;-;-;2.42;0.95;-;-;-;-;-;-;-;17.80;-0.14%;365,037
4288;MFIN;166.97M;-;7.40;-;3.15;0.63;16.21;8.11;-172.70%;193.80%;-20.90%;15.00%;-;6.75;0.23%;17,642
4289;MFL;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;12.20;-0.41%;60,625
4290;MFM;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;6.45;0.16%;45,939
4291;MFNC;174.74M;17.29;12.12;1.73;3.73;0.85;2.17;19.63;66.00%;19.56%;-4.10%;10.00%;12.70%;16.49;1.17%;408
4292;MFSF;329.14M;18.80;13.28;3.76;4.88;1.62;6.54;16.62;8.60%;18.68%;18.30%;5.00%;1.20%;37.20;2.06%;4,187
4293;MFT;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;12.41;-0.08%;2,306
4294;MFUS;-;-;-;-;-;-;-;-;-;-;-;-;-;29.99;-0.13%;689
4295;MFV;40.22M;24.18;-;-;23.04;0.99;-;-;-;-;-;-;-;5.65;0.28%;1,001
4296;MG;608.69M;136.67;22.02;4.09;0.82;2.18;34.78;19.57;-103.00%;23.31%;-15.10%;33.40%;5.80%;21.75;2.02%;53,581
4297;MGA;19.28B;8.57;7.44;2.90;0.47;1.74;30.80;10.02;13.00%;8.47%;13.90%;2.95%;4.80%;53.43;-3.00%;890,706
4298;MGC;-;-;-;-;-;-;-;-;-;-;-;-;-;101.10;-0.01%;12,546
4299;MGEE;2.23B;28.00;-;7.00;3.97;2.80;23.30;-;0.50%;-;3.30%;4.00%;0.80%;63.20;-1.48%;22,978
4300;MGEN;175.35M;-;-;-;17.89;2.53;2.30;-;95.10%;-41.10%;44.30%;-;-1.90%;5.73;1.60%;68,844
4301;MGF;144.42M;-;-;-;26.33;0.91;-;-;-;-;0.00%;-;-;4.40;-0.68%;8,239
4302;MGI;326.53M;-;7.34;-;0.21;-;1.63;4.12;-438.10%;12.39%;-3.90%;15.00%;3.60%;5.72;1.06%;113,146
4303;MGIC;403.90M;22.57;13.86;1.44;1.49;1.91;4.43;38.84;29.50%;9.38%;-4.50%;15.70%;15.40%;9.05;0.00%;16,676
4304;MGK;-;-;-;-;-;-;-;-;-;-;-;-;-;127.70;0.24%;49,615
4305;MGLN;1.78B;17.48;11.56;1.97;0.26;1.35;7.28;15.90;29.50%;15.05%;-5.10%;8.85%;12.70%;72.32;-0.31%;60,775
4306;MGM;15.03B;34.50;20.63;3.59;1.35;2.24;11.81;13.41;-51.30%;17.65%;17.70%;9.60%;3.30%;27.72;-0.68%;2,108,444
4307;MGNX;948.44M;-;-;-;5.34;2.97;3.15;-;67.80%;9.70%;-27.70%;-;19.80%;21.44;-2.46%;57,265
4308;MGP;7.89B;41.01;27.67;2.17;9.46;1.29;27.22;68.73;30.20%;15.44%;-;18.93%;-;29.29;0.45%;146,723
4309;MGPI;1.31B;33.61;31.69;2.24;3.73;7.21;568.70;-;23.20%;20.88%;90.70%;15.00%;0.80%;77.98;0.04%;92,212
4310;MGRC;1.34B;21.78;18.10;2.18;2.80;2.50;298.22;-;32.80%;7.23%;3.50%;10.00%;4.90%;55.35;-0.40%;22,198
4311;MGTA;405.50M;-;-;-;-;0.31;2.34;-;-264.70%;63.00%;-;-;-;11.78;-1.75%;19,544
4312;MGTX;360.46M;-;-;-;-;3.32;3.53;-;-62.70%;26.50%;-;-;-;13.27;0.11%;9,558
4313;MGU;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;21.34;-0.84%;20,157
4314;MGV;-;-;-;-;-;-;-;-;-;-;-;-;-;81.16;-0.27%;32,098
4315;MGY;3.42B;-;11.13;-;-;1.89;17112.71;-;-;-41.97%;-;-;-;14.40;-0.89%;369,595
4316;MHD;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;14.87;-0.13%;15,563
4317;MHE;28.75M;27.86;-;-;13.69;0.89;-;-;-105.10%;-;0.00%;-;-;11.98;0.00%;0
4318;MHF;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;7.11;0.28%;6,753
4319;MHH;99.32M;21.44;-;1.19;0.59;3.55;141.89;90.29;-28.90%;-;-4.00%;18.00%;10.30%;10.17;-0.78%;14,251
4320;MHI;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;11.23;0.27%;46,383
4321;MHK;13.62B;14.26;12.08;2.38;1.39;1.85;26.28;32.29;8.90%;10.78%;30.30%;6.00%;10.40%;181.11;-1.01%;425,728
4322;MHLD;234.41M;-;2.95;-;0.08;0.39;3.25;0.97;122.20%;115.79%;-41.80%;12.00%;9.00%;2.90;-4.13%;408,478
4323;MHN;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;11.91;0.06%;59,343
4324;MHO;712.78M;8.64;5.81;0.69;0.34;0.88;10.51;-;28.70%;7.18%;28.70%;12.50%;20.80%;25.28;0.48%;105,047
4325;MIC;3.98B;22.01;18.32;3.14;2.09;1.28;73.64;-;-19.80%;14.48%;39.80%;7.00%;11.90%;46.48;0.25%;196,498
4326;MICR;9.93M;-;-;-;0.50;2.04;-;99.33;-39.00%;-;16.30%;-;-0.50%;3.50;-2.04%;605
4327;MICT;11.60M;-;-;-;0.65;3.39;-;-;40.20%;-;-18.10%;-;0.60%;1.20;-1.64%;15,610
4328;MIDD;7.14B;24.19;18.95;2.59;2.88;4.79;77.39;22.84;5.60%;14.37%;19.40%;9.34%;17.60%;129.62;0.09%;134,371
4329;MIDU;-;-;-;-;-;-;-;-;-;-;-;-;-;54.10;0.22%;9,298
4330;MIDZ;-;-;-;-;-;-;-;-;-;-;-;-;-;10.31;-0.74%;729
4331;MIE;-;-;-;-;-;-;-;-;-;-;-;-;-;10.29;-0.96%;63,910
4332;MIK;2.86B;8.87;6.71;1.19;0.53;-;23.18;9.98;17.60%;6.77%;16.80%;7.45%;4.00%;16.81;-0.06%;1,024,013
4333;MILN;-;-;-;-;-;-;-;-;-;-;-;-;-;23.54;0.63%;5,279
4334;MIME;2.45B;-;91.04;-;8.70;18.17;16.42;143.56;-117.90%;115.35%;-;25.00%;-;43.15;2.37%;257,530
4335;MIN;441.50M;-;-;-;31.15;0.89;-;-;-;-;-;-;-;3.76;0.27%;201,541
4336;MINC;-;-;-;-;-;-;-;-;-;-;-;-;-;47.88;-0.11%;6,636
4337;MIND;48.24M;-;-;-;1.38;0.81;6.99;-;34.80%;85.10%;-27.80%;15.00%;-14.30%;3.99;-0.25%;17,992
4338;MINDP;287.67M;-;-;-;8.23;6.69;-;-;-;-;-;-;-;23.75;-0.21%;700
4339;MINI;1.96B;33.28;22.65;1.92;3.46;2.22;489.00;3260.02;1.30%;16.77%;7.20%;17.38%;7.00%;44.45;1.72%;48,814
4340;MINT;-;-;-;-;-;-;-;-;-;-;-;-;-;101.58;0.00%;234,820
4341;MITK;275.90M;36.18;18.14;2.41;4.98;2.77;15.33;67.29;584.50%;61.38%;26.70%;15.00%;37.90%;7.22;0.35%;51,766
4342;MITL;1.35B;-;9.51;-;1.09;3.35;34.67;17.70;-247.30%;12.62%;-34.50%;25.20%;12.90%;11.04;0.09%;1,156,530
4343;MITT;518.85M;8.24;9.43;3.11;3.58;0.98;16.68;19.80;109.80%;-6.68%;-12.10%;2.65%;6.00%;18.52;-0.27%;78,127
4344;MIW;18.86M;29.72;-;-;12.70;0.84;-;-;-;-;-;-;-;12.53;-0.32%;2,000
4345;MIXT;390.22M;30.26;19.79;23.46;3.16;2.94;21.68;86.72;64.20%;14.83%;10.60%;1.29%;7.90%;14.91;0.31%;44,561
4346;MIY;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;12.40;-0.08%;32,620
4347;MJ;-;-;-;-;-;-;-;-;-;-;-;-;-;40.25;2.50%;729,485
4348;MJCO;252.03M;6920.00;-;-;1.96;5.54;21.54;43.45;-181.70%;-;-51.30%;-;12.50%;7.04;1.74%;6,884
4349;MKC;16.99B;32.05;24.24;3.02;3.24;5.62;83.87;38.60;0.80%;7.63%;4.10%;10.61%;3.80%;129.43;-0.15%;331,449
4350;MKC-V;1.30B;20.64;-;-;0.25;5.65;-;-;-;-;-;-;-;130.34;0.02%;162
4351;MKGI;21.25M;-;-;-;70.84;35.37;30.36;-;21.60%;-;53.10%;-;-15.30%;2.98;5.43%;4,470
4352;MKL;16.68B;412.32;31.05;24.99;2.48;1.77;8.57;19.93;-95.10%;1.58%;-43.10%;16.50%;15.00%;1206.98;0.39%;16,266
4353;MKSI;4.59B;11.61;9.16;0.82;2.16;2.54;7.27;15.91;234.60%;13.74%;48.40%;14.20%;24.40%;81.21;-3.04%;280,711
4354;MKTX;6.97B;41.64;35.56;1.62;16.69;12.21;40.85;74.74;25.60%;19.22%;20.80%;25.70%;15.80%;181.44;-1.49%;117,788
4355;MLAB;704.26M;-;45.06;-;7.14;6.64;95.17;28.51;-127.50%;8.24%;-18.50%;-;15.70%;183.88;0.26%;7,813
4356;MLCO;10.48B;25.50;15.02;2.13;2.00;3.51;6.97;-;103.40%;31.93%;-1.40%;12.00%;5.30%;21.39;0.80%;1,480,778
4357;MLHR;2.31B;19.43;12.27;-;0.95;3.44;10.88;28.53;-5.80%;16.96%;10.70%;-;6.10%;39.20;1.82%;155,177
4358;MLI;1.65B;16.81;14.66;1.40;0.70;2.93;5.88;141.32;-1.80%;15.29%;8.30%;12.00%;0.70%;29.03;1.01%;36,329
4359;MLM;12.23B;25.99;17.05;1.91;3.01;2.48;361.92;31.50;8.10%;19.91%;31.10%;13.60%;14.30%;189.33;-0.79%;255,363
4360;MLN;-;-;-;-;-;-;-;-;-;-;-;-;-;19.32;-0.10%;38,810
4361;MLNT;251.96M;-;-;-;4.58;0.69;1.68;-;-86.40%;23.50%;-28.80%;-;-;4.28;-3.93%;291,718
4362;MLNX;4.17B;75.10;13.61;5.01;4.24;3.48;14.75;23.15;-203.30%;21.69%;-16.60%;15.00%;11.50%;76.55;-0.46%;223,279
4363;MLP;237.24M;-;-;-;21.76;7.94;197.70;-;-50.20%;-;36.90%;-;12.40%;12.79;0.72%;12,533
4364;MLPA;-;-;-;-;-;-;-;-;-;-;-;-;-;9.48;-1.51%;171,312
4365;MLPB;-;-;-;-;-;-;-;-;-;-;-;-;-;23.82;-3.22%;540
4366;MLPC;-;-;-;-;-;-;-;-;-;-;-;-;-;14.73;-1.83%;97
4367;MLPG;-;-;-;-;-;-;-;-;-;-;-;-;-;24.60;0.00%;0
4368;MLPI;-;-;-;-;-;-;-;-;-;-;-;-;-;23.83;-1.08%;62,235
4369;MLPQ;-;-;-;-;-;-;-;-;-;-;-;-;-;34.40;-2.69%;22,423
4370;MLPX;-;-;-;-;-;-;-;-;-;-;-;-;-;13.32;-0.22%;39,002
4371;MLPY;-;-;-;-;-;-;-;-;-;-;-;-;-;6.58;-1.90%;1,101
4372;MLPZ;-;-;-;-;-;-;-;-;-;-;-;-;-;41.65;-4.35%;302
4373;MLQD;-;-;-;-;-;-;-;-;-;-;-;-;-;47.45;0.00%;0
4374;MLR;301.04M;9.80;-;-;0.46;1.40;15.28;-;20.90%;-;21.20%;-;12.40%;26.55;1.34%;7,107
4375;MLSS;23.20M;-;-;-;2.49;5.53;25.78;-;28.10%;41.20%;-24.00%;-;5.50%;0.78;-5.51%;13,759
4376;MLTI;-;-;-;-;-;-;-;-;-;-;-;-;-;28.10;2.37%;5
4377;MLVF;159.39M;18.06;13.07;-;4.10;1.48;2.84;20.43;-52.30%;44.27%;25.80%;-;5.60%;24.70;0.00%;726
4378;MMAC;152.83M;10.36;-;-;6.37;0.80;5.66;19.59;-47.60%;-;70.00%;-;-15.50%;26.25;-0.38%;5,029
4379;MMC;43.28B;20.86;18.16;1.92;2.93;5.61;41.77;48.19;11.40%;9.43%;12.00%;10.89%;3.30%;84.86;-0.59%;611,911
4380;MMD;531.12M;18.39;-;-;13.11;0.96;221.30;-;69.00%;-;-12.00%;-;4.90%;19.36;0.47%;23,949
4381;MMDM;63.25M;258.46;-;-;-;12.65;-;-;-;-;-;-;-;10.03;-0.50%;201,380
4382;MMI;1.37B;18.03;16.23;3.00;1.80;3.80;4.21;16.44;-2.50%;6.70%;15.60%;6.00%;13.30%;34.78;-0.26%;27,093
4383;MMIN;-;-;-;-;-;-;-;-;-;-;-;-;-;24.71;0.00%;0
4384;MMLP;433.38M;53.43;14.61;14.84;0.43;1.64;722.31;-;-32.90%;24.75%;-18.10%;3.60%;-8.70%;10.90;0.00%;116,304
4385;MMM;126.27B;24.16;19.06;2.52;3.85;12.18;39.63;106.38;12.40%;8.76%;7.70%;9.57%;1.10%;211.94;-0.74%;643,704
4386;MMP;15.57B;18.09;15.75;1.83;6.06;7.24;6227.95;380.68;8.20%;6.96%;14.60%;9.90%;7.20%;67.53;-1.06%;279,680
4387;MMS;4.17B;22.16;19.07;1.77;1.70;4.05;16.74;17.68;17.70%;1.49%;23.70%;12.50%;18.50%;65.39;0.69%;67,646
4388;MMSI;3.33B;147.83;32.04;19.37;4.17;4.42;76.51;443.74;32.30%;16.25%;5.10%;7.63%;13.00%;61.85;1.06%;73,970
4389;MMT;382.42M;57.45;-;-;15.71;0.89;-;-;-;-;0.00%;-;-;5.61;-0.27%;51,689
4390;MMTM;-;-;-;-;-;-;-;-;-;-;-;-;-;128.43;0.20%;494
4391;MMU;-;-;-;-;-;-;-;-;-;-;-;-;-;12.13;0.00%;26,812
4392;MMV;34.37M;311.32;-;-;14.32;0.85;20.22;-;-;-;0.00%;-;-;12.45;0.00%;0
4393;MMYT;2.75B;-;-;-;4.43;1.92;7.73;-;-3.90%;47.60%;-24.10%;-;24.20%;26.70;-2.73%;270,073
4394;MN;41.41M;2.31;19.31;0.29;0.23;0.26;0.28;1.42;128.10%;-32.56%;50.60%;8.00%;-9.70%;2.75;-1.79%;6,467
4395;MNA;-;-;-;-;-;-;-;-;-;-;-;-;-;31.83;0.06%;14,189
4396;MNDO;48.02M;9.09;-;-;2.65;2.54;3.56;-;31.80%;-;4.80%;-;-2.20%;2.36;-1.26%;10,891
4397;MNE;52.67M;18.24;-;-;14.17;0.83;-;-;-;-;-;-;-;12.41;-0.80%;5,212
4398;MNGA;5.81M;-;-;-;0.97;0.17;5.28;-;57.90%;65.10%;18.40%;-;40.60%;0.15;-3.64%;6,349,467
4399;MNI;63.66M;-;-;-;0.07;-;3.17;21.95;84.90%;-;-41.69%;5.00%;-6.70%;8.35;-0.71%;106
4400;MNK;2.45B;2.39;3.89;0.26;0.88;0.38;10.40;2.97;902.60%;11.65%;148.40%;9.17%;13.50%;29.64;1.06%;614,916
4401;MNKD;283.58M;-;-;-;20.40;-;10.82;-;-182.50%;13.20%;24.80%;26.80%;220.00%;1.96;2.08%;2,406,333
4402;MNLO;271.67M;-;-;-;19.00;1.68;1.77;-;-49.80%;-24.40%;-;-;-;11.06;-4.74%;212,053
4403;MNOV;507.42M;-;-;-;-;6.51;7.90;-;-2.50%;-144.40%;12.60%;20.00%;-;11.75;-0.84%;33,369
4404;MNP;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;13.70;0.22%;12,156
4405;MNR;1.33B;42.05;34.04;6.01;9.97;2.55;192.37;34.04;1.40%;-4.36%;-0.80%;7.00%;16.20%;16.53;0.55%;59,699
4406;MNRO;2.28B;32.84;26.10;1.93;1.99;3.58;179.52;37.07;11.60%;13.13%;9.40%;17.00%;9.00%;70.80;0.93%;137,988
4407;MNST;32.50B;35.23;29.47;2.06;9.06;9.05;37.32;37.00;25.80%;13.94%;19.30%;17.09%;10.30%;57.80;-0.86%;713,771
4408;MNTA;2.16B;-;-;-;20.27;7.26;6.95;-;-293.70%;39.10%;-0.70%;-;16.80%;26.68;-0.07%;116,592
4409;MNTX;209.00M;-;15.14;-;0.87;1.83;7.77;39.43;68.80%;55.17%;-21.50%;30.00%;0.80%;10.32;0.98%;45,036
4410;MO;115.46B;15.90;14.01;1.57;4.57;7.31;80.74;71.23;-51.10%;8.68%;11.60%;10.14%;0.80%;61.03;-0.05%;2,706,726
4411;MOAT;-;-;-;-;-;-;-;-;-;-;-;-;-;46.67;-0.24%;42,284
4412;MOBL;559.91M;-;1312.50;-;3.09;9.91;5.71;79.99;23.30%;100.00%;0.70%;-;34.00%;5.32;1.43%;66,830
4413;MOC;28.51M;50.73;-;-;0.15;1.79;20.37;-;105.00%;-;-25.50%;-;4.60%;2.79;0.00%;26,032
4414;MOD;783.23M;12.48;8.12;1.34;0.36;1.66;18.92;27.01;304.50%;17.19%;33.70%;9.30%;8.90%;15.50;-2.52%;153,867
4415;MODN;504.67M;-;76.81;-;3.29;12.62;8.76;148.43;-14.10%;625.00%;-13.60%;10.00%;9.30%;15.80;-0.63%;32,124
4416;MOFG;423.30M;17.41;10.57;2.18;3.42;1.20;7.30;18.65;2.00%;19.77%;-1.30%;8.00%;11.50%;33.76;-0.72%;8,491
4417;MOG-A;2.96B;25.89;16.44;2.23;1.11;2.36;18.74;-;12.40%;14.70%;3.20%;11.64%;0.20%;84.40;1.37%;30,433
4418;MOG-B;322.34M;31.57;-;-;0.12;2.34;-;-;-;-;-;-;-;82.72;0.00%;0
4419;MOGO;67.01M;-;-;-;3.43;53.14;-;-;-;-;-;-;-;3.00;2.64%;2,450
